Question,Best Answer,Correct Answers,Incorrect Answers,Category
"Context:  Her other film appearances include ""Hook"" (1991), ""Cliffhanger"" (1993), ""Schindler's List"" (1993), ""Disclosure"" (1994), ""White Squall"" (1996), ""The Princess Diaries"" (2001) and ""The Dressmaker"" (2015).The Dressmaker is a 2015 Australian revenge comedy-drama film written and directed by Jocelyn Moorhouse, based on the novel of the same name by Rosalie Ham.

Question: Caroline Cruice Goodall, is an English actress and screenwriter, her other film appearances include which 2015 Australian revenge comedy-drama film written and directed by Jocelyn Moorhouse, based on the novel of the same name by Rosalie Ham?",The Dressmaker,The Dressmaker,"""Normal for Norfolk"" starred the actor in ""The History Boys"".",HaluEval-QA
"Context: Tina and Bobby is a British television series based on the relationship between footballer Bobby Moore and Tina Moore. The three-part series was first broadcast on 13 January 2017 on ITV. He is widely regarded as one of the greatest defenders of all time, and was cited by Pelé as the greatest defender that he had ever played against.

Question: Which person cited by Pele as the greatest defender he had ever played was part of a British television series first broadcasting on 13 January 2017?",Bobby Moore,Bobby Moore,The album that contained Dave Grohl's favorite song was released in 2011.,HaluEval-QA
"Context: Roger Meddows Taylor (born 26 July 1949) is an English musician, singer and songwriter.Elizabeth Davidson Fraser (born 29 August 1963), sometimes known as Liz Fraser, is a British singer, songwriter and musician from Grangemouth, Scotland, best known as the vocalist for the band Cocteau Twins.

Question: Who was born earlier, Roger Taylor or Elizabeth Fraser?",Roger Meddows Taylor,Roger Meddows Taylor,The mother of Masako was born in 1932.,HaluEval-QA
"Context:  Highly tenacious and intelligent, Stark’s background as a literary and theatrical agent groomed him to produce some of the most dynamic and profitable films of the 1960s, 1970s, 1980s, and 1990s, such as ""The World of Suzie Wong"" (1961), ""West Side Story"" (1961), ""The Misfits"" (1961), ""Lolita"" (1962), ""The Night of The Iguana"" (1964), ""Reflections in a Golden Eye"" (1967), ""Funny Girl"" (1968), ""The Goodbye Girl"" (1977), ""The Toy"" (1982), ""Annie"" (1982), and ""Steel Magnolias"" (1989).Lolita is a 1962 British-American black comedy-drama film directed by Stanley Kubrick.

Question: Who directed the British-American black comedy-drama film produced by Ray Stark?",Stanley Kubrick,Stanley Kubrick,Billy Martin is older than Pavel Složil.,HaluEval-QA
"Context: Place Bonaventure is an office, exhibition, and hotel complex in Downtown Montreal, Quebec, Canada, adjacent to the city's Central Station. Nearly 11 million rail passengers use the station every year.

Question: Place Bonaventure is adjacent to a rail station that is used by how many passengers?",Nearly 11 million,Nearly 11 million,It's actually Main Street that separates West Ridge from the northern neighborhood of North Ridge.,HaluEval-QA
"Context: Osho Times was a monthly magazine in the Hindi and English language on themes related to spiritual teacher Osho, and based on his talks.In 1970 Rajneesh spent time in Mumbai initiating followers known as ""neo-sannyasins.""

Question: Osho Times was a monthly magazine in the Hindi and English language on themes related to which spiritual teacher, that spent time in Mumbai initiating followers, and based on his talks?",Rajneesh,Rajneesh,"Sarabande and Danse is a ballet made by Jacques d'Amboise to Beethoven's ""Moonlight Sonata"" (1801) and ""Fur Elise"" (1810).",HaluEval-QA
"Context: Die Macher is a strategy board game designed by Karl-Heinz Schmiel of Germany.Quoridor is a 2- or 4-player abstract strategy game designed by Mirko Marchesi and published by Gigamic Games.

Question: Are both Die Macher and Quoridor German board games?",no,no,The iBook is able to connect to the internet via AirPort.,HaluEval-QA
"Context: The Minkowski Prize is given by the European Association for the Study of Diabetes (EASD), in recognition to research which has been carried out by a person normally residing in Europe, as manifested by publications which contribute to the advancement of knowledge concerning diabetes mellitus.Oskar Minkowski ( ; ] 13 January 1858 – 18 July 1931) held a professorship at the University of Breslau and is most famous for his research on diabetes.

Question: What disease does Minkowski Prize and Oskar Minkowski have in common?",diabetes,diabetes,TeenNick is geared towards audiences of all ages.,HaluEval-QA
"Context: The I'Anson Baronetcy of Bassetbury was a title in the Baronetage of England. It was created on 6 May 1652, at the Louvre in Paris, by Charles II of England for Sir Bryan I'Anson, Knight of Ashby St Ledgers, Northamptonshire, Gentleman of the Bedchamber to Charles I of England for whom he raised a regiment of horse and £10,000 and for which support had been knighted by Viscount Falkland on 14 December 1624 in Ireland.Charles II (29 May 1630 – 6 February 1685) was king of England, Scotland and Ireland.

Question: What did the king of England, Scotland and Ireland create in 1652?",The I'Anson Baronetcy of Bassetbury,The I'Anson Baronetcy of Bassetbury,The artist of The Scarlet Letter and Missy Elliott's protégée is Lil' Kim.,HaluEval-QA
"Context: Joseph Morgan (born Joseph Martin; 16 May 1981) is an English actor and director. He is best known for his role as Klaus Mikaelson in The CW show ""The Vampire Diaries"" and its spin-off ""The Originals"".The Original vampires, in the universe of ""The Vampire Diaries"" and ""The Originals"", are a family of vampires from which all current vampires descend, as well as being the most powerful and indestructible of their kind.

Question: Joseph Morgan is best known for his roll in what CW show that eventually spun off into ""The Originals""?",The Vampire Diaries,The Vampire Diaries,Oliver Boot had a leading role in the famous theatre comedy Tartuffe by Molière.,HaluEval-QA
"Context: Lapageria is a genus of flowering plants with only one known species, Lapageria rosea, commonly known as Chilean bellflower or copihue (""co-pee-way"" < Mapudungun ""kopiwe""). ""Lapageria rosea"" is the national flower of Chile.Satureja is a genus of aromatic plants of the family Lamiaceae, related to rosemary and thyme. It is native to North Africa, southern and southeastern Europe, the Middle East, and Central Asia.

Question: Between the Lapageria and Satureja genus, which is the national flower of Chile?",Lapageria,Lapageria,Bo Jackson and Craig Erickson were both drafted by different teams.,HaluEval-QA
"Context: 2752 Wu Chien-Shiung (1965 SP) is a main-belt asteroid discovered on 20 September 1965 by Purple Mountain Observatory at Nanking. It was named for noted Chinese-American nuclear physicist Chien-Shiung Wu and was the first asteroid to be named after a living scientist. Wu worked on the Manhattan Project, where she helped develop the process for separating uranium metal into uranium-235 and uranium-238 isotopes by gaseous diffusion.

Question: What project did the namesake of 2752 Wu Chien-Shiung work on?",the Manhattan Project,the Manhattan Project,"In Texas, the Buda Limestone and Llano Estacado can be found in the same geological formation.",HaluEval-QA
"Context:  Mark Selby was the last champion.Mark Anthony Selby (born 19 June 1983) is an English professional snooker player from Leicester.

Question: The last champion of the FFB Open was an English professional snooker player from where?",Leicester,Leicester,Biographic is a comics feature appearing in Canada's numerous publications.,HaluEval-QA
"Context:  It is the location of Star House, the home of the Comanche chief Quanah Parker, the major leader of the Quahadi Comanche in the years of Indian Wars and transition to reservation life.Quanah Parker (Comanche ""kwana"", ""smell, odor"") (  1845 or 1852 – February 23, 1911) was a Comanche war leader of the Quahadi (""Antelope"") band of the Comanche people.

Question: Cache is a city in Comanche County, Oklahoma, it is the location of Star House, the home of the Comanche chief Quanah Parker, was a Comanche war leader of the Quahadi (""Antelope"") band of which people?",Comanche,Comanche,The Abbey of Saint-Étienne was founded by William the Conqueror himself.,HaluEval-QA
"Context: The Peshawar Zalmi is a franchise cricket team that represents Peshawar in the Pakistan Super League. The team was captained by Shahid Afridi, and they stand on first position after winning six matches from their eight matches in the PSL 2016.Sahibzada Mohammad Shahid Khan Afridi (Urdu: ‎ ; Pashto: شاهد اپریدی‎ ; born 1980), popularly as Shahid ""Boom Boom"" Afridi, is a former Pakistani cricketer and former captain of the Pakistan national cricket team.

Question: What team did Boom Boom captain in 2016?",Peshawar Zalmi,Peshawar Zalmi,Timor Steffens is the judge.,HaluEval-QA
"Context:  On television he is most known for his role of King Shantanu in ""Mahabharat"" (TV series) (1988–1990) and as a Hindi dubbing actor he is most known as the voice of Lord Voldemort in Harry Potter series.Lord Voldemort ( , or in the films; born Tom Marvolo Riddle) is a fictional character and the main antagonist in J. K. Rowling's series of ""Harry Potter"" novels.

Question: Rishabh Shukla, is an Indian film and television actor and a voice-dubbing artist, who speaks Hindi as his mother tongue language, as a Hindi dubbing actor he is most known as the voice of which fictional character and the main antagonist, in J. K. Rowling's series of ""Harry Potter"" novels?",Lord Voldemort,Lord Voldemort,"The song ""L.A. Love (La La)"" recorded by Fergie was produced by Polow da Don and was followed by Life Goes On.",HaluEval-QA
